,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
537.3,0.0192,0.0038,0.0748,0.0703,0.0227,0.0442
536.5,0.0194,0.0038,0.0759,0.0721,0.0229,0.0448
535.6,0.0195,0.0040,0.0767,0.0742,0.0232,0.0460
534.8,0.0198,0.0039,0.0782,0.0758,0.0234,0.0472
533.9,0.0199,0.0041,0.0793,0.0776,0.0235,0.0483
533.1,0.0200,0.0041,0.0799,0.0794,0.0239,0.0494
532.2,0.0201,0.0042,0.0808,0.0810,0.0242,0.0506
531.4,0.0202,0.0046,0.0817,0.0833,0.0244,0.0519
530.5,0.0206,0.0049,0.0826,0.0855,0.0247,0.0533
529.7,0.0208,0.0053,0.0836,0.0875,0.0249,0.0548
528.8,0.0208,0.0055,0.0843,0.0898,0.0252,0.0560
527.9,0.0210,0.0057,0.0849,0.0921,0.0254,0.0576
527.1,0.0214,0.0061,0.0860,0.0943,0.0255,0.0593
526.2,0.0217,0.0067,0.0868,0.0968,0.0257,0.0612
525.4,0.0220,0.0069,0.0877,0.0992,0.0260,0.0629
524.5,0.0222,0.0076,0.0888,0.1013,0.0261,0.0650
523.7,0.0224,0.0080,0.0894,0.1038,0.0262,0.0670
522.8,0.0229,0.0083,0.0904,0.1056,0.0264,0.0690
522.0,0.0229,0.0091,0.0909,0.1079,0.0269,0.0714
521.1,0.0232,0.0099,0.0913,0.1101,0.0271,0.0736
520.3,0.0231,0.0105,0.0916,0.1121,0.0273,0.0761
519.4,0.0232,0.0111,0.0922,0.1139,0.0275,0.0788
518.6,0.0232,0.0116,0.0925,0.1160,0.0277,0.0812
517.7,0.0235,0.0124,0.0930,0.1178,0.0278,0.0839
516.9,0.0235,0.0135,0.0936,0.1200,0.0282,0.0868
516.0,0.0240,0.0145,0.0947,0.1218,0.0282,0.0896
515.1,0.0239,0.0154,0.0952,0.1235,0.0283,0.0922
514.3,0.0245,0.0162,0.0960,0.1250,0.0285,0.0946
